,movie,year,time_minute,imdb_rating,vote,gross_earning
0,Dune,(2021),155 min,8.2,"381,062",-
1,Home Alone,(1990),103 min,7.6,"521,914",$285.76M
2,Jai Bhim,(2021),164 min,9.4,"155,157",-
3,Ghostbusters,(1984),105 min,7.8,"386,902",$238.63M
4,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,"715,124",$317.58M
5,The Matrix,(1999),136 min,8.7,"1,786,524",$171.48M
6,Avengers: Endgame,(2019),181 min,8.4,"970,551",$858.37M
7,Die Hard,(1988),132 min,8.2,"830,114",$83.01M
8,The Shawshank Redemption,(1994),142 min,9.3,"2,503,170",$28.34M
9,Knives Out,(2019),130 min,7.9,"555,694",$165.36M
10,Little Women,(2019),135 min,7.8,"173,984",$108.10M
11,The Godfather,(1972),175 min,9.2,"1,725,532",$134.97M
12,Parasite,(2019),132 min,8.6,"690,008",$53.37M
13,Interstellar,(2014),169 min,8.6,"1,651,265",$188.02M
14,A Christmas Story,(1983),93 min,7.9,"139,000",$20.61M
15,Klaus,(2019),96 min,8.2,"125,657",-
16,Titanic,(1997),194 min,7.8,"1,107,558",$659.33M
17,Joker,(2019),122 min,8.4,"1,105,974",$335.45M
18,Once Upon a Time... In Hollywood,(2019),161 min,7.6,"655,019",$142.50M
19,The Wolf of Wall Street,(2013),180 min,8.2,"1,288,348",$116.90M
20,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,"1,750,627",$315.54M
21,The Dark Knight,(2008),152 min,9.0,"2,452,765",$534.86M
22,Blade Runner 2049,(2017),164 min,8.0,"517,991",$92.05M
23,Inception,(2010),148 min,8.8,"2,200,999",$292.58M
24,It's a Wonderful Life,(1946),130 min,8.6,"427,436",-
25,The Princess Bride,(1987),98 min,8.1,"412,984",$30.86M
26,Avengers: Infinity War,(2018),149 min,8.4,"948,592",$678.82M
27,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,"442,609",$190.24M
28,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,"582,478",$290.01M
29,Zack Snyder's Justice League,(2021),242 min,8.1,"348,988",-
30,Goodfellas,(1990),146 min,8.7,"1,083,852",$46.84M
31,Pulp Fiction,(1994),154 min,8.9,"1,931,592",$107.93M
32,Pride & Prejudice,(2005),129 min,7.8,"277,582",$38.41M
33,Fight Club,(1999),139 min,8.8,"1,969,231",$37.03M
34,Alien,(1979),117 min,8.4,"833,355",$78.90M
35,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,"814,117",$381.01M
36,Gladiator,(2000),155 min,8.5,"1,416,258",$187.71M
37,Apocalypse Now,(1979),147 min,8.4,"636,715",$83.47M
38,1917,(2019),119 min,8.3,"511,913",$159.23M
39,Wind River,(2017),107 min,7.7,"229,859",$33.80M
40,Casino Royale,(2006),144 min,8.0,"630,334",$167.45M
41,The Green Mile,(1999),189 min,8.6,"1,218,505",$136.80M
42,The Gentlemen,(2019),113 min,7.8,"289,270",-
43,Gone Girl,(2014),149 min,8.1,"921,904",$167.77M
44,Deadpool,(2016),108 min,8.0,"963,446",$363.07M
45,Thor: Ragnarok,(2017),130 min,7.9,"661,640",$315.06M
46,Kingsman: The Secret Service,(2014),129 min,7.7,"624,020",$128.26M
47,Inglourious Basterds,(2009),153 min,8.3,"1,351,593",$120.54M
48,The Girl with the Dragon Tattoo,(2011),158 min,7.8,"445,370",$102.52M
49,Se7en,(1995),127 min,8.6,"1,537,635",$100.13M
50,Léon: The Professional,(1994),110 min,8.5,"1,095,550",$19.50M
51,Guardians of the Galaxy,(2014),121 min,8.0,"1,107,710",$333.18M
52,Prisoners,(2013),153 min,8.1,"650,937",$61.00M
53,Forrest Gump,(1994),142 min,8.8,"1,932,099",$330.25M
54,Schindler's List,(1993),195 min,8.9,"1,280,883",$96.90M
55,The Goonies,(1985),114 min,7.8,"258,965",$61.50M
56,Django Unchained,(2012),165 min,8.4,"1,447,920",$162.81M
57,Harry Potter and the Prisoner of Azkaban,(2004),142 min,7.9,"589,077",$249.36M
58,American Psycho,(2000),101 min,7.6,"536,843",$15.07M
59,Boogie Nights,(1997),155 min,7.9,"253,037",$26.40M
60,All That Jazz,(1979),123 min,7.9,"30,334",$37.82M
61,Jojo Rabbit,(2019),108 min,7.9,"347,901",$0.35M
62,Blade Runner,(1982),117 min,8.1,"731,501",$32.87M
63,Skyfall,(2012),143 min,7.8,"671,828",$304.36M
64,Heat,(1995),170 min,8.2,"616,365",$67.44M
65,Requiem for a Dream,(2000),102 min,8.3,"802,824",$3.64M
66,No Country for Old Men,(2007),122 min,8.1,"913,326",$74.28M
67,Deadpool 2,(2018),119 min,7.7,"529,281",$324.59M
68,Bohemian Rhapsody,(2018),134 min,7.9,"497,225",$216.43M
